Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
DEL BIOBIO,LOTA,147,47446,21542,45.4
DEL BIOBIO,MULCHEN,79,26746,10150,37.95
DEL BIOBIO,NACIMIENTO,72,24563,10758,43.8
DEL BIOBIO,NEGRETE,30,9084,3798,41.81
DEL BIOBIO,PENCO,125,42186,21132,50.09
DEL BIOBIO,QUILACO,15,4359,1868,42.85
DEL BIOBIO,QUILLECO,34,9620,3931,40.86
DEL BIOBIO,SAN PEDRO DE LA PAZ,270,91391,46764,51.17
DEL BIOBIO,SAN ROSENDO,15,4362,1933,44.31
DEL BIOBIO,SANTA BARBARA,39,13350,5201,38.96
DEL BIOBIO,SANTA JUANA,39,13026,5456,41.89
DEL BIOBIO,TALCAHUANO,465,131721,63741,48.39
DEL BIOBIO,TIRUA,27,9123,3844,42.14
DEL BIOBIO,TOME,158,50014,23036,46.06
DEL BIOBIO,TUCAPEL,47,13197,5800,43.95
DEL BIOBIO,YUMBEL,68,20248,8767,43.3
DE LA ARAUCANIA,TOTAL,2923,887606,400100,45.08
DE LA ARAUCANIA,ANGOL,140,46976,21445,45.65
DE LA ARAUCANIA,CARAHUE,78,24663,9633,39.06
DE LA ARAUCANIA,CHOLCHOL,33,11149,5396,48.4
DE LA ARAUCANIA,COLLIPULLI,67,22172,9624,43.41
DE LA ARAUCANIA,CUNCO,62,20105,7987,39.73
DE LA ARAUCANIA,CURACAUTIN,63,21097,7814,37.04
DE LA ARAUCANIA,CURARREHUE,25,8521,2943,34.54
DE LA ARAUCANIA,ERCILLA,28,8036,2972,36.98
DE LA ARAUCANIA,FREIRE,77,22892,9410,41.11
DE LA ARAUCANIA,GALVARINO,37,12092,5229,43.24
DE LA ARAUCANIA,GORBEA,49,15651,6626,42.34
DE LA ARAUCANIA,LAUTARO,102,34520,15592,45.17
DE LA ARAUCANIA,LONCOCHE,76,23234,9640,41.49
DE LA ARAUCANIA,LONQUIMAY,40,12115,4737,39.1
DE LA ARAUCANIA,LOS SAUCES,26,7464,3571,47.84
DE LA ARAUCANIA,LUMACO,35,9187,4241,46.16
DE LA ARAUCANIA,MELIPEUCO,23,7723,2250,29.13
DE LA ARAUCANIA,NUEVA IMPERIAL,91,30850,13487,43.72
DE LA ARAUCANIA,PADRE LAS CASAS,175,59516,26103,43.86
DE LA ARAUCANIA,PERQUENCO,21,6814,3006,44.12
DE LA ARAUCANIA,PITRUFQUEN,69,23226,10131,43.62
DE LA ARAUCANIA,PUCON,86,29594,12410,41.93
DE LA ARAUCANIA,PUREN,39,12240,5341,43.64
DE LA ARAUCANIA,RENAICO,36,9806,4347,44.33
DE LA ARAUCANIA,SAAVEDRA,40,13239,5200,39.28
DE LA ARAUCANIA,TEMUCO,904,238028,120881,50.78
DE LA ARAUCANIA,TEODORO SCHMIDT,52,14052,6529,46.46
DE LA ARAUCANIA,TOLTEN,33,10554,4582,43.41
DE LA ARAUCANIA,TRAIGUEN,65,18595,8081,43.46
DE LA ARAUCANIA,VICTORIA,111,32607,14906,45.71
DE LA ARAUCANIA,VILCUN,75,24718,10879,44.01
DE LA ARAUCANIA,VILLARRICA,165,56170,25107,44.7
DE LOS RIOS,TOTAL,1100,353056,162276,45.96
DE LOS RIOS,CORRAL,18,5546,2310,41.65
DE LOS RIOS,FUTRONO,46,14801,6626,44.77
DE LOS RIOS,LA UNION,110,35752,16251,45.45
DE LOS RIOS,LAGO RANCO,37,9616,4430,46.07
DE LOS RIOS,LANCO,50,16367,6782,41.44
DE LOS RIOS,LOS LAGOS,62,19109,7759,40.6
DE LOS RIOS,MAFIL,24,7191,3417,47.52
DE LOS RIOS,MARIQUINA,64,19123,7897,41.3
DE LOS RIOS,PAILLACO,66,19298,8541,44.26
DE LOS RIOS,PANGUIPULLI,108,35619,13818,38.79
DE LOS RIOS,RIO BUENO,103,30798,13597,44.15
DE LOS RIOS,VALDIVIA,412,139836,70848,50.67
DE LOS LAGOS,TOTAL,2345,746353,330898,44.34
DE LOS LAGOS,ANCUD,120,38912,15884,40.82
DE LOS LAGOS,CALBUCO,97,32505,11459,35.25
DE LOS LAGOS,CASTRO,135,41866,17877,42.7
DE LOS LAGOS,CHAITEN,17,5094,1550,30.43
DE LOS LAGOS,CHONCHI,40,13357,5346,40.02
DE LOS LAGOS,COCHAMO,16,4636,1589,34.28
DE LOS LAGOS,CURACO DE VELEZ,12,3770,1261,33.45
DE LOS LAGOS,DALCAHUE,38,12772,4407,34.51
DE LOS LAGOS,FRESIA,42,12172,5405,44.41
DE LOS LAGOS,FRUTILLAR,51,17227,8486,49.26
DE LOS LAGOS,FUTALEUFU,12,3885,1079,27.77
DE LOS LAGOS,HUALAIHUE,29,8774,3728,42.49
DE LOS LAGOS,LLANQUIHUE,48,16207,7967,49.16
DE LOS LAGOS,LOS MUERMOS,49,16423,6817,41.51
DE LOS LAGOS,MAULLIN,58,15329,5594,36.49
DE LOS LAGOS,OSORNO,459,143216,68095,47.55
DE LOS LAGOS,PALENA,7,2322,811,34.93
DE LOS LAGOS,PUERTO MONTT,573,189727,88771,46.79
DE LOS LAGOS,PUERTO OCTAY,30,9074,4117,45.37
