Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_with_id,City_id
DE LA ARAUCANIA,CURARREHUE,25,8521,2943,34.54,80-CURARREHUE,80
DE LA ARAUCANIA,ERCILLA,28,8036,2972,36.98,101-ERCILLA,101
DE LA ARAUCANIA,FREIRE,77,22892,9410,41.11,81-FREIRE,81
DE LA ARAUCANIA,GALVARINO,37,12092,5229,43.24,82-GALVARINO,82
DE LA ARAUCANIA,GORBEA,49,15651,6626,42.34,83-GORBEA,83
DE LA ARAUCANIA,LAUTARO,102,34520,15592,45.17,84-LAUTARO,84
DE LA ARAUCANIA,LONCOCHE,76,23234,9640,41.49,85-LONCOCHE,85
DE LA ARAUCANIA,LONQUIMAY,40,12115,4737,39.1,102-LONQUIMAY,102
DE LA ARAUCANIA,LOS SAUCES,26,7464,3571,47.84,103-LOS SAUCES,103
DE LA ARAUCANIA,LUMACO,35,9187,4241,46.16,104-LUMACO,104
DE LA ARAUCANIA,MELIPEUCO,23,7723,2250,29.13,86-MELIPEUCO,86
DE LA ARAUCANIA,NUEVA IMPERIAL,91,30850,13487,43.72,87-NUEVA IMPERIAL,87
DE LA ARAUCANIA,PADRE LAS CASAS,175,59516,26103,43.86,88-PADRE LAS CASAS,88
DE LA ARAUCANIA,PERQUENCO,21,6814,3006,44.12,89-PERQUENCO,89
DE LA ARAUCANIA,PITRUFQUEN,69,23226,10131,43.62,90-PITRUFQUEN,90
DE LA ARAUCANIA,PUCON,86,29594,12410,41.93,91-PUCON,91
DE LA ARAUCANIA,PUREN,39,12240,5341,43.64,105-PUREN,105
DE LA ARAUCANIA,RENAICO,36,9806,4347,44.33,106-RENAICO,106
DE LA ARAUCANIA,SAAVEDRA,40,13239,5200,39.28,92-SAAVEDRA,92
DE LA ARAUCANIA,TEMUCO,904,238028,120881,50.78,93-TEMUCO,93
DE LA ARAUCANIA,TEODORO SCHMIDT,52,14052,6529,46.46,94-TEODORO SCHMIDT,94
DE LA ARAUCANIA,TOLTEN,33,10554,4582,43.41,95-TOLTEN,95
DE LA ARAUCANIA,TRAIGUEN,65,18595,8081,43.46,107-TRAIGUEN,107
DE LA ARAUCANIA,VICTORIA,111,32607,14906,45.71,108-VICTORIA,108
DE LA ARAUCANIA,VILCUN,75,24718,10879,44.01,96-VILCUN,96
DE LA ARAUCANIA,VILLARRICA,165,56170,25107,44.7,97-VILLARRICA,97
DE LOS RIOS,TOTAL,1100,353056,162276,45.96,total,-99
DE LOS RIOS,CORRAL,18,5546,2310,41.65,138-CORRAL,138
DE LOS RIOS,FUTRONO,46,14801,6626,44.77,139-FUTRONO,139
DE LOS RIOS,LA UNION,110,35752,16251,45.45,140-LA UNION,140
DE LOS RIOS,LAGO RANCO,37,9616,4430,46.07,141-LAGO RANCO,141
